ranking,city,statecode,avg_price,entry_sal,positions
1,Austin,TX,404317,63924,86
2,Denver,CO,488386,77402,181
3,Colorado Springs,CO,321088,58686,7
4,Fayetteville,AR,221546,54929,19
5,Des Moines,IA,147694,72170,22
7,San Francisco,CA,1451049,92498,207
8,Portland,OR,464283,67880,41
9,Seattle,WA,802912,81519,130
11,Huntsville,AL,178465,58017,11
12,Madison,WI,293514,100662,14
13,Grand Rapids,MI,177723,57225,11
14,San Jose,CA,1089860,87059,179
15,Nashville,TN,287500,67187,51
17,Boise,ID,331482,56828,16
18,Sarasota,FL,289167,55593,8
20,Charlotte,NC,254255,101284,73
22,Greenville,SC,203775,57444,10
23,Portland,ME,333446,50995,8
24,Salt Lake City,UT,436115,75686,57
25,Melbourne,FL,245384,56120,2
26,Phoenix,AZ,271291,76096,103
27,Boston,MA,620097,77840,236
30,Houston,TX,192681,73062,76
31,Winston-Salem,NC,153108,56460,17
32,Omaha,NE,193769,55609,21
33,Reno,NV,411558,58653,5
34,San Antonio,TX,186009,83577,21
35,Fort Myers,FL,260200,56593,2
36,San Diego,CA,717383,68102,76
37,Pensacola,FL,157072,54166,7
38,Indianapolis,IN,151493,56594,37
39,Cincinnati,OH,161214,68062,47
40,Fort Wayne,IN,144412,45368,3
41,Lansing,MI,95504,70490,16
42,Jacksonville,FL,196115,56689,14
43,Manchester,NH,267826,59341,16
44,Harrisburg,PA,55717,63409,17
45,Charleston,SC,339668,58807,6
46,Knoxville,TN,200199,60289,6
47,Hartford,CT,155406,48875,46
49,Kansas City,MO,157990,63928,44
50,Pittsburgh,PA,158964,54999,49
52,Buffalo,NY,102896,64065,12
53,Richmond,VA,240257,67878,27
54,Syracuse,NY,98555,58820,13
55,Chattanooga,TN,164328,76631,2
56,Tampa,FL,251269,73775,62
57,Atlanta,GA,300255,71850,170
58,Rochester,NY,128115,47319,7
59,Lakeland,FL,178985,53962,3
60,Honolulu,HI,977282,59944,11
61,Milwaukee,WI,131152,79710,25
63,Orlando,FL,267171,72547,49
64,Louisville,KY,179855,48913,17
65,Spokane,WA,254665,51895,6
66,Greensboro,NC,165533,56735,11
67,Columbia,SC,148470,45368,18
68,Oklahoma City,OK,141460,88481,21
69,Dayton,OH,60144,80582,30
70,Anchorage,AK,374498,61896,5
71,Las Vegas,NV,299816,59846,19
72,Augusta,GA,108586,55407,6
73,Santa Barbara,CA,1151867,76792,4
74,Santa Rosa,CA,601921,63924,8
75,Myrtle Beach,SC,265484,52502,0
76,Tucson,AZ,218379,70773,3
77,Salem,OR,293913,105531,2
79,Wichita,KS,136662,55541,7
80,Springfield,MO,146501,52813,5
82,Sacramento,CA,354148,69119,30
83,Tulsa,OK,131658,57260,6
85,Cleveland,OH,65532,65755,31
86,Springfield,MA,174482,62089,34
87,York,PA,176340,52974,22
88,Little Rock,AR,150536,63600,23
89,Birmingham,AL,59747,54892,20
91,Providence,RI,240913,62635,25
92,Detroit,MI,34909,70109,60
94,Toledo,OH,73883,56309,2
95,New Haven,CT,196009,63005,22
96,Lafayette,LA,172849,55852,4
97,Youngstown,OH,25638,53789,16
98,Scranton,PA,90374,55851,11
99,Daytona Beach,FL,178429,53872,5
100,Baltimore,MD,148820,86191,97
101,Killeen,TX,135104,51142,20
102,Philadelphia,PA,178942,71872,171
103,Virginia Beach,VA,287932,56881,30
104,Chicago,IL,221752,73041,199
105,Corpus Christi,TX,158264,55890,1
106,Albuquerque,NM,213805,58249,9
107,Los Angeles,CA,756217,73934,164
108,Beaumont,TX,109736,55174,0
109,Baton Rouge,LA,189254,58626,13
110,El Paso,TX,136997,36786,3
111,Jackson,MS,44573,56851,7
113,Miami,FL,392862,64384,46
114,New Orleans,LA,225899,53047,5
115,Flint,MI,24470,52617,1
116,Brownsville,TX,103350,49968,1
117,Salinas,CA,521572,60591,2
118,Memphis,TN,93598,43121,9
119,Fresno,CA,257940,60100,3
120,Modesto,CA,313307,59367,4
121,Mobile,AL,127644,55249,1
122,Shreveport,LA,103134,55397,3
123,Stockton,CA,320134,59113,6
124,Bakersfield,CA,254820,59792,2
